,danceability,energy,loudness,valence,acousticness,instrumentalness,tempo,kmeans
27,0.68,0.57,-12.388,0.966,0.652,1.18e-05,115.894,1
28,0.698,0.6609999999999999,-9.674,0.8240000000000001,0.636,0.0,131.808,1
29,0.471,0.19,-16.046,0.305,0.77,0.00385,72.764,0
30,0.607,0.541,-7.529,0.95,0.705,0.0281,145.132,1
31,0.521,0.516,-7.456,0.569,0.723,0.0,136.483,0
32,0.684,0.374,-12.037,0.846,0.435,0.0,142.815,1
33,0.284,0.498,-5.534,0.327,0.918,0.0009699999999999,99.075,0
34,0.465,0.276,-13.184,0.233,0.809,0.000272,82.613,0
35,0.511,0.524,-14.652,0.284,0.875,0.0,127.444,0
36,0.682,0.677,-9.966,0.961,0.507,0.947,119.687,1
37,0.669,0.316,-14.125,0.601,0.7020000000000001,0.000132,112.725,0
38,0.581,0.53,-10.437,0.91,0.486,0.0,127.175,1
39,0.278,0.8220000000000001,-5.932,0.831,0.531,0.0,142.67700000000002,1
40,,,,,,,,0
41,0.6970000000000001,0.6970000000000001,-4.863,0.5820000000000001,0.7070000000000001,8.72e-05,108.5,1
42,0.546,0.296,-13.997,0.263,0.753,0.00355,105.649,0
43,0.51,0.5920000000000001,-6.3870000000000005,0.545,0.8140000000000001,0.0,128.876,0
44,0.477,0.506,-11.669,0.868,0.6829999999999999,2.15e-05,174.525,0
45,0.6970000000000001,0.597,-13.186,0.959,0.752,0.0,136.39700000000002,1
46,0.552,0.336,-10.712,0.5529999999999999,0.828,0.0,105.479,0
47,0.634,0.275,-11.417,0.581,0.89,0.0011099999999999,127.294,0
48,0.519,0.616,-7.919,0.941,0.2789999999999999,0.0,159.239,1
49,0.287,0.27,-14.698,0.23,0.922,0.0473,79.48899999999999,0
50,0.585,0.527,-9.551,0.965,0.255,0.0,143.418,1
51,0.354,0.179,-9.088,0.427,0.953,2.54e-06,166.375,0
52,0.3829999999999999,0.275,-14.572,0.12,0.884,0.941,95.786,0
53,0.512,0.64,-6.125,0.862,0.67,0.0,129.612,1
54,0.421,0.185,-13.347,0.361,0.795,0.0,101.685,0
55,0.235,0.198,-14.609000000000002,0.2289999999999999,0.912,1.63e-06,87.256,0
56,0.895,0.608,-7.224,0.96,0.5579999999999999,0.14,117.705,1
57,0.604,0.105,-16.78,0.5529999999999999,0.977,0.0,92.238,0
58,0.409,0.258,-15.453,0.639,0.82,0.0,78.27199999999999,0
59,0.754,0.442,-15.178,0.971,0.324,0.0,118.641,1
60,0.504,0.286,-9.904,0.367,0.894,0.7829999999999999,74.219,0
61,0.247,0.359,-8.888,0.449,0.794,0.0,185.652,0
62,0.7959999999999999,0.258,-13.163,0.713,0.779,1.56e-05,112.356,0
63,0.5720000000000001,0.418,-12.757,0.5920000000000001,0.8440000000000001,0.283,81.48100000000001,0
64,0.72,0.6920000000000001,-12.797,0.851,0.66,1.66e-06,134.616,1
65,0.311,0.314,-12.81,0.565,0.731,0.0,109.983,0
66,0.528,0.3939999999999999,-11.235,0.297,0.7509999999999999,0.0,102.898,0
67,0.156,0.2289999999999999,-12.475,0.12,0.958,0.0154,50.975,0
68,0.622,0.485,-12.048,0.946,0.312,0.0,144.445,1
69,0.477,0.196,-15.689,0.405,0.655,0.0,102.363,0
70,0.643,0.452,-11.135,0.96,0.615,0.000157,97.705,1
71,0.579,0.294,-14.61,0.6759999999999999,0.491,0.0,80.75,0
72,0.472,0.483,-6.218,0.473,0.414,6.88e-06,108.25,0
73,0.526,0.772,-5.38,0.965,0.534,2.31e-06,149.92,1
74,0.7909999999999999,0.529,-10.655,0.964,0.831,3.58e-05,130.267,1
75,0.492,0.6459999999999999,-11.736,0.898,0.904,0.0,126.814,0
76,0.79,0.514,-10.743,0.962,0.223,0.0,117.022,1
77,0.304,0.289,-10.963,0.154,0.752,0.0,147.17600000000002,0
78,0.499,0.254,-16.861,0.492,0.629,6.81e-06,86.029,0
79,0.691,0.507,-10.23,0.885,0.627,0.0,128.518,1
80,,,,,,,,0
81,0.628,0.613,-6.434,0.745,0.627,0.0,122.256,1
82,0.416,0.511,-12.269,0.938,0.768,0.0,200.293,0
83,0.7170000000000001,0.545,-10.97,0.962,0.809,0.0554,93.888,1
84,0.396,0.3379999999999999,-9.145,0.375,0.758,2.62e-06,116.543,0
85,0.507,0.4539999999999999,-9.838,0.746,0.7959999999999999,1.09e-05,75.17,0
86,0.477,0.703,-7.332000000000001,0.875,0.433,0.0,135.342,1
87,0.3779999999999999,0.439,-7.935,0.422,0.237,7.85e-06,115.626,0
88,0.7190000000000001,0.639,-9.229,0.727,0.797,1.4300000000000002e-05,128.27200000000002,0
89,0.585,0.809,-9.436,0.943,0.324,0.883,88.94,1
90,0.585,0.472,-10.553,0.848,0.184,0.0,118.179,1
91,0.71,0.758,-10.321,0.953,0.344,0.0,98.428,1
92,0.584,0.589,-11.203,0.8420000000000001,0.4629999999999999,1.53e-05,172.484,1
93,0.532,0.293,-11.052,0.422,0.727,2.92e-06,113.421,0
94,0.541,0.366,-9.19,0.425,0.938,0.445,94.809,0
95,0.596,0.627,-6.117000000000001,0.838,0.614,0.0,121.156,1
96,0.642,0.924,-3.094,0.937,0.27,0.0,132.374,1
97,0.555,0.4039999999999999,-14.187,0.736,0.8420000000000001,0.0,120.509,0
98,0.612,0.831,-10.373,0.4679999999999999,0.872,0.00435,90.914,0
99,0.633,0.484,-8.507,0.8140000000000001,0.47,0.0001409999999999,80.543,1
100,0.569,0.722,-8.914,0.965,0.225,0.0,142.736,1
101,0.54,0.0635,-20.014,0.523,0.929,1.55e-06,111.553,0
102,0.48,0.237,-18.666,0.469,0.86,0.128,103.182,0
103,0.35,0.293,-9.502,0.162,0.758,8.21e-06,96.685,0
104,0.618,0.726,-6.115,0.812,0.579,0.000103,108.458,1
105,0.254,0.465,-7.421,0.642,0.768,0.0,183.362,0
106,0.456,0.635,-4.593999999999999,0.897,0.00928,4.44e-06,77.35300000000001,1
107,0.787,0.623,-8.241,0.8690000000000001,0.6890000000000001,0.0932,128.327,1
108,0.575,0.396,-14.091,0.74,0.13,1.14e-06,121.772,1
109,0.845,0.446,-9.79,0.918,0.722,0.0465,84.865,1
110,0.479,0.52,-12.423,0.96,0.833,0.911,82.024,0
111,0.491,0.431,-12.257,0.6609999999999999,0.698,0.0,82.443,0
112,0.5720000000000001,0.392,-10.555,0.381,0.778,0.0004349999999999,128.255,0
113,0.3829999999999999,0.296,-10.883,0.504,0.825,0.0,80.39699999999999,0
114,0.723,0.565,-4.175,0.8590000000000001,0.4479999999999999,0.866,126.588,1
115,0.49,0.384,-11.315,0.47,0.4379999999999999,3.17e-05,137.047,0
116,0.477,0.231,-11.842,0.246,0.857,0.497,98.226,0
117,0.342,0.332,-7.367999999999999,0.396,0.809,0.0,108.918,0
118,,,,,,,,0
119,0.61,0.272,-10.071,0.608,0.888,7.11e-06,107.116,0
120,0.747,0.631,-8.306000000000001,0.753,0.713,0.0002399999999999,127.416,1
121,0.665,0.7879999999999999,-6.146,0.907,0.56,0.0,105.62,1
122,0.741,0.363,-12.484000000000002,0.8590000000000001,0.669,0.0,123.263,0
123,0.5579999999999999,0.6859999999999999,-4.495,0.8859999999999999,0.8,0.0,132.075,1
124,0.7859999999999999,0.262,-15.396,0.902,0.487,0.0545,139.882,1
125,0.725,0.374,-8.017999999999999,0.82,0.5770000000000001,0.0,128.569,1
126,0.8059999999999999,0.425,-11.019,0.825,0.525,0.0,117.913,1
127,0.648,0.165,-16.445999999999998,0.435,0.879,0.000216,99.585,0
128,0.535,0.6829999999999999,-11.677,0.912,0.371,0.0133,150.74200000000002,1
129,0.347,0.237,-13.438,0.254,0.97,0.0091799999999999,88.885,0
130,0.4629999999999999,0.831,-9.276,0.898,0.932,0.0755,164.96400000000003,1
131,0.366,0.6809999999999999,-8.468,0.86,0.516,0.0,169.34599999999998,1
132,0.7070000000000001,0.643,-7.46,0.875,0.456,0.0,123.476,1
133,0.589,0.568,-11.295,0.777,0.8320000000000001,0.0,144.566,0
134,0.644,0.492,-13.646,0.248,0.894,0.922,129.089,0
135,,,,,,,,0
136,0.539,0.5660000000000001,-5.665,0.7190000000000001,0.356,0.8390000000000001,99.334,1
137,0.5,0.319,-15.735,0.6459999999999999,0.497,0.0,177.489,0
